,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9단위* 5분,,,,,,,,,,,,,,,,,,,,,,,10단위,,,,,,,,,,,,,,,,,,,,,,,이격수,,,,,,,,,,,,15,,,15,,,,,,,,,,,,,,,,,,,,,,,
,7,18,19,26,33,45,,1,2,1,2,1,1,,4,2,,3,3,,2,4,,2,1,3,,,,,,,,,1,3,2,,1,1,2,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,2,1,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,11,1,7,7,12,,11,1,7,7,12,,1,1,1,1,2,,4,1,,3,2,,3,1,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,10,17,22,30,35,43,,2,1,2,2,1,1,,3,3,,3,3,,3,3,,2,3,1,,,,,,,,,1,3,2,,0,2,1,2,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,2,1,2,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,7,5,8,5,8,,7,5,8,5,8,,1,1,2,1,2,,3,2,,2,3,,3,2,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,6,7,15,22,26,40,,2,1,1,2,2,2,,2,4,,4,2,,2,4,,1,3,2,,,,,,,,,2,3,1,,2,1,2,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,2,1,2,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,8,7,4,14,,1,8,7,4,14,,1,2,1,2,2,,2,3,,3,2,,1,4,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,8,14,28,29,34,40,,2,2,2,1,2,2,,1,5,,2,4,,2,4,,1,5,0,,,,,,,,,2,2,2,,1,1,0,3,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,1,2,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,6,14,1,5,6,,6,14,1,5,6,,2,2,1,1,2,,2,3,,3,2,,1,2,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,1,12,16,19,23,43,,1,2,2,1,1,1,,4,2,,5,1,,4,2,,3,2,1,,,,,,,,,2,3,1,,1,2,2,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,3,1,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,11,4,3,4,20,,11,4,3,4,20,,1,2,1,2,2,,2,3,,4,1,,2,3,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,14,33,34,35,37,40,,2,1,2,1,1,2,,3,3,,1,5,,4,2,,1,4,1,,,,,,,,,1,0,5,,0,1,0,3,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,1,0,4,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,19,1,1,2,3,,19,1,1,2,3,,1,1,1,2,1,,4,1,,4,1,,3,2,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,12,16,21,24,41,43,,2,2,1,2,1,1,,3,3,,3,3,,5,1,,2,1,3,,,,,,,,,1,3,2,,0,2,2,0,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,2,2,0,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,4,5,3,17,2,,4,5,3,17,2,,2,1,1,1,2,,3,2,,4,1,,4,1,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,3,20,28,38,40,43,,1,2,2,2,2,1,,2,4,,2,4,,2,4,,2,4,0,,,,,,,,,1,2,3,,1,0,1,1,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,0,2,1,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,17,8,10,2,3,,17,8,10,2,3,,1,2,2,2,1,,2,3,,2,3,,3,2,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,17,26,29,30,31,43,,1,2,1,2,1,1,,4,2,,1,5,,2,4,,4,1,1,,,,,,,,,0,5,1,,0,1,1,3,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,1,2,2,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,9,3,1,1,12,,9,3,1,1,12,,1,1,1,1,2,,4,1,,4,1,,1,2,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,6,7,13,28,36,42,,2,1,1,2,2,2,,2,4,,3,3,,2,4,,2,1,3,,,,,,,,,3,1,2,,2,1,0,2,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,2,1,1,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,6,15,8,6,,1,6,15,8,6,,1,2,1,2,2,,2,3,,2,3,,0,2,3,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
